"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","Total Usage"
"SAN DIEGO","Non-Residential","   12807.004508","   12733.398624","   12921.802237","   13001.745393","   13091.361681","   12827.721039","   12702.826552","   12382.851430","   12458.115640","   12720.543807","   13021.022591","   12858.996832","   12669.623120","   12277.152119","   12034.231687","   11251.738394","   10679.726792","   10269.417396","  222709.279842"
"SAN DIEGO","Residential","    6942.415949","    6943.147417","    6772.676145","    6883.311679","    6859.133038","    6796.148870","    6902.840388","    6681.917726","    6617.350246","    6781.793216","    6909.270023","    6745.127186","    6713.707430","    6325.460914","    5858.415539","    4820.226181","    4045.959496","    3567.008182","  113165.909625"
"SAN FRANCISCO","Non-Residential","    4126.458422","    4253.803954","    4294.350306","    4368.426507","    4405.296124","    4383.532168","    4363.372679","    4379.210120","    4238.943617","    4159.904347","    4244.314473","    4157.648779","    3841.772779","    3925.932590","    3699.583615","    3621.305610","    3688.818636","    3660.861684","   73813.536410"
"SAN FRANCISCO","Residential","    1475.823055","    1481.530714","    1464.760679","    1437.379610","    1440.433202","    1502.763077","    1512.245494","    1524.582029","    1518.374937","    1501.387452","    1484.332562","    1467.618951","    1491.207341","    1444.507747","    1381.327792","    1363.835670","    1365.841193","    1345.679951","   26203.631456"
"SAN JOAQUIN","Non-Residential","    3799.103563","    3787.478666","    3697.903004","    3421.351786","    3471.694972","    3809.730149","    3601.522924","    3565.665668","    3516.535728","    3595.868407","    3611.973165","    3746.881776","    4066.657127","    4080.867149","    3771.158018","    3336.350217","    3730.535553","    3691.197841","   66302.475713"
"SAN JOAQUIN","Residential","    1830.199972","    1867.977902","    1758.859069","    1745.357156","    1764.035814","    1739.086165","    1752.000568","    1706.536443","    1683.746816","    1725.985626","    1706.341283","    1700.393518","    1715.359398","    1652.015153","    1631.761976","    1575.178266","    1474.092129","    1410.469520","   30439.396774"
"SAN LUIS OBISPO","Non-Residential","    1115.936450","    1120.538058","    1101.186311","    1077.679484","    1094.097144","    1105.958542","    1059.911394","    1027.309928","    1011.283298","    1034.466537","    1063.937150","    1091.993486","     918.243774","     929.581663","     958.669498","     936.444450","     921.334470","     858.616927","   18427.188564"
"SAN LUIS OBISPO","Residential","     650.024955","     652.719072","     637.356382","     634.625454","     631.738560","     660.463760","     664.844718","     656.047929","     657.232496","     668.361319","     673.147331","     671.528441","     682.453342","     651.305902","     636.975261","     624.945118","     542.101828","     625.838371","   11621.710239"
"SAN MATEO","Non-Residential","    2701.878997","    2830.852943","    2839.652020","    2926.261661","    2947.008609","    2954.663480","    2923.718956","    2966.979548","    3150.200590","    3357.319427","    3463.877372","    3408.512661","    3074.769251","    2976.538923","    3217.449237","    3098.690347","    2701.638867","    2754.707928","   54294.720817"
"SAN MATEO","Residential","    1523.723790","    1523.215025","    1499.876504","    1505.671732","    1505.371839","    1572.203026","    1584.478299","    1603.923537","    1616.648647","    1613.655465","    1612.220082","    1592.728399","    1597.397540","    1568.381758","    1545.884184","    1514.356663","    1513.523864","    1475.305562","   27968.565916"
